Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
СРОЧНО!! Гравел pride rocx tour dirt 29” размер L gravel,19 000 грн.,Б/в,2022-08-06,Харків,Київський,"50.04, 36.3",Олександр,,https://www.olx.ua/d/uk/obyavlenie/srochno-gravel-pride-rocx-tour-dirt-29-razmer-l-gravel-IDPkp2h.html
Велосипед гревел гравел цк Focus Mares AX-1,19 000 грн.,Б/в,2022-07-30,Київ,Дарницький,"50.40931, 30.69263",Захар,,https://www.olx.ua/d/uk/obyavlenie/velosiped-grevel-gravel-tsk-focus-mares-ax-1-IDPglx6.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 990 грн.,Б/в,2021-12-30,Ірпінь,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/uk/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
Гравійний велосипед BH Gravel Х 105 (розмір М),38 000 грн.,Б/в,2022-07-27,Кам'янське,,"48.5, 34.62",Руслан,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-bh-gravel-h-105-rozmr-m-IDPeYQw.html
Haibike Race 1.0 Gravel велосипед алюмінієвий карбонова вилка 28,14 999 грн.,Б/в,2022-07-21,Стрий,,"49.25663, 23.83511",Олег,Bike-Magazine Lviv,https://www.olx.ua/d/uk/obyavlenie/haibike-race-1-0-gravel-velosiped-alyumnviy-karbonova-vilka-28-IDPbLY1.html
"Новый гравийник Prophete Geniesser Urban/Sport (1х9, Asera, 55 см L)",19 500 грн.,Нові,2021-06-23,Київ,Дарницький,"50.40931, 30.69263","Веломагазин FACEBIKE на Теодора Драйзера 1, Киев",Теодора Драйзера 1 Троещи...,https://www.olx.ua/d/uk/obyavlenie/novyy-graviynik-prophete-geniesser-urban-sport-1h9-asera-55-sm-l-IDM0bfm.html
"Гравійний велосипед DeMARCHE Gravel Stone 2022 Нові (L-TWOO,1х11,28"")",19 900 грн.,Нові,2022-08-09,Черкаси,,"49.4141, 32.06042",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-demarche-gravel-stone-2022-nov-l-twoo-1h11-28-IDPlFPX.html
Велосипед туринг gravel Гравел Trek 520 shimano deore 2x9 2019 рік,19 900 грн.,Б/в,2021-11-28,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-turing-gravel-gravel-trek-520-shimano-deore-2x9-2019-rk-IDNszUk.html
Гравійний Велосипед вел вело байк Outleap Hardway 54см S,20 000 грн.,Нові,2022-06-29,Хмельницький,,"49.40611, 27.0045",Вадим,ВелоСКЛАД,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-vel-velo-bayk-outleap-hardway-54sm-s-IDP0wiY.html
Велосипед циклокросс (гравел) Fuji cross one.6 ltd,20 000 грн.,Б/в,2021-10-06,Львів,Сихівський,"49.792, 24.064",Oleg,,https://www.olx.ua/d/uk/obyavlenie/velosiped-tsiklokross-gravel-fuji-cross-one-6-ltd-IDMVIUY.html
Велосипед. Гравел демарш,20 000 грн.,Нові,2022-06-29,Ужгород,,"48.61981, 22.29811",Виталий,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-demarsh-IDP0s2Z.html
Marine Nicasio + (gravel),20 000 грн.,Б/в,2022-07-20,Київ,Дніпровський,"50.45964, 30.61717",Олександр,,https://www.olx.ua/d/uk/obyavlenie/marine-nicasio-gravel-IDPbmae.html
"Велосипед гравійний, 28"", алюмінієвий, дуже легкий, gravel",20 000 грн.,Б/в,2022-06-16,Івано-Франківськ,,"48.91819, 24.71343",Андрій,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-28-alyumnviy-duzhe-legkiy-gravel-IDOTyrG.html
"Гравійний велосипед DeMARCHE Gravel Stone (L-TWOO,1х11,28"") 2022 Нові",20 200 грн.,Нові,2022-06-30,Полтава,,"49.5991, 34.55674",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-demarche-gravel-stone-l-twoo-1h11-28-2022-nov-IDP1bNk.html
Продам велосипед KONA ROVE 54cm Gravel,20 500 грн.,Б/в,2022-07-26,Запоріжжя,Хортицький,"47.815, 35.052",Александр,Велосипеды запорожье,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-kona-rove-54cm-gravel-IDPepsr.html
Туринг/Гравел/Хромоль/Cr-Mo,10 000 грн.,Б/в,2022-08-03,Харків,Слобідський,"49.93914, 36.28963",Максим,,https://www.olx.ua/d/uk/obyavlenie/turing-gravel-hromol-cr-mo-IDPiNcD.html
Гравийный велосипед Crosser Gravel NORD 28x700C (17/19/21) 14S/16S,8 800 грн.,Нові,2022-06-25,Одеса,Київський,"46.38471, 30.70913",Павел,,https://www.olx.ua/d/uk/obyavlenie/graviynyy-velosiped-crosser-gravel-nord-28x700c-17-19-21-14s-16s-IDOYvgz.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),42 000 грн.,Б/в,2022-05-01,Гатне,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/uk/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
28 Kona Rove DL 2020 GRAVEL Shimano Sora Disc,20 500 грн.,Б/в,2022-07-30,Івано-Франківськ,,"48.91819, 24.71343",Микола,,https://www.olx.ua/d/uk/obyavlenie/28-kona-rove-dl-2020-gravel-shimano-sora-disc-IDPgBi9.html
Продам велосипед Gravel Pride RocX 8.2,21 000 грн.,Б/в,2022-07-06,Кривий Ріг,Саксаганський,"47.947, 33.409",Виктор,,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-gravel-pride-rocx-8-2-IDP44uR.html
"Велосипед рокрайдер, гравійний, гравел ""Gazelle"" Голандія! 9,5кг!",21 000 грн.,Б/в,2020-08-06,Івано-Франківськ,,"48.91819, 24.71343",Роман,,https://www.olx.ua/d/uk/obyavlenie/velosiped-rokrayder-gravyniy-gravel-gazelle-golandya-9-5kg-IDIQhdU.html
"Туринг, гравел Bergamont SWEEP 5 EQ 28 2020, колеса 28, зріст 175-190",21 500 грн.,Б/в,2022-07-19,Олевськ,,"51.22076, 27.64422",Василь,,https://www.olx.ua/d/uk/obyavlenie/turing-gravel-bergamont-sweep-5-eq-28-2020-kolesa-28-zrst-175-190-IDPaTcP.html
28 KONA ROVE AL Гравийник Gravel Shimano Claris Disc,21 555 грн.,Б/в,2022-07-30,Запоріжжя,Комунарський,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/uk/obyavlenie/28-kona-rove-al-graviynik-gravel-shimano-claris-disc-IDPgst6.html
28 Kona Rove DL 2020 GRAVEL Shimano Sora Disc Гравийник,22 350 грн.,Б/в,2022-07-29,Запоріжжя,Комунарський,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/uk/obyavlenie/28-kona-rove-dl-2020-gravel-shimano-sora-disc-graviynik-IDPg3Zz.html
Triban RC 500 Gravel,22 400 грн.,Б/в,2022-07-31,Київ,Голосіївський,"50.35684, 30.51985",макс,,https://www.olx.ua/d/uk/obyavlenie/triban-rc-500-gravel-IDPh6py.html
28 TRIBAN RC 500 GRAVEL DISC Гравийник вилка CARBON Shimano SORA DISC,22 500 грн.,Б/в,2022-08-03,Запоріжжя,Комунарський,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/uk/obyavlenie/28-triban-rc-500-gravel-disc-graviynik-vilka-carbon-shimano-sora-disc-IDPiI54.html
"Велосипед туринг, гравел Diamant 132 RD (55 см.)",23 300 грн.,Невідомо,2022-06-11,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-turing-gravel-diamant-132-rd-55-sm-IDOR6yO.html
"Велосипед шоссейний, Гравел, gravel Specialized Diverge 51см",23 500 грн.,Б/в,2022-07-19,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/velosiped-shosseyniy-gravel-gravel-specialized-diverge-51sm-IDPaJb9.html
"Велосипед гравійний Gravel Merida Silex 400 2019, Shimano 105",43 500 грн.,Б/в,2022-07-19,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-gravel-merida-silex-400-2019-shimano-105-IDPaSbe.html
Crosser Gravel Nord Pro (1*11S) 28/19 черный глянец,14 800 грн.,Нові,2022-07-04,Одеса,Київський,"46.38471, 30.70913",Павел,,https://www.olx.ua/d/uk/obyavlenie/crosser-gravel-nord-pro-111s-28-19-chernyy-glyanets-IDP34VJ.html
"Новый алюминиевый велосипед 28"" Leader Fox (Author) дорожный, туринг!",7 995 грн.,Нові,2022-08-04,Київ,Голосіївський,"50.35684, 30.51985",Сергей,,https://www.olx.ua/d/uk/obyavlenie/novyy-alyuminievyy-velosiped-28-leader-fox-author-dorozhnyy-turing-IDPjjKd.html
Велосипед gravel грaвел Marin Cr-Mo 2022,23 900 грн.,Б/в,2022-06-11,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-gravel-marin-cr-mo-2022-IDOR7F4.html
"Велосипед MARIN Nicasio 2020 - відмінний стан, документи, гарантія",23 999 грн.,Б/в,2020-08-11,Новий Розділ,,"49.47, 24.13",Павло,,https://www.olx.ua/d/uk/obyavlenie/velosiped-marin-nicasio-2020-vdmnniy-stan-dokumenti-garantya-IDIT4tJ.html
Gravel гравійник гревел  Triban rc520 Panaracer carbon shimano 105,23 999 грн.,Б/в,2022-07-16,Ковель,,"51.20566, 24.71296",Сергій,,https://www.olx.ua/d/uk/obyavlenie/gravel-gravynik-grevel-triban-rc520-panaracer-carbon-shimano-105-IDP92Oh.html
Велосипед\ городской\ гравел\ циклкрос Merida SPEEDER 300 2019р.,24 001 грн.,Б/в,2020-09-25,Івано-Франківськ,,"48.91819, 24.71343",Ігор,Вело-Спорт,https://www.olx.ua/d/uk/obyavlenie/velosiped-gorodskoy-gravel-tsiklkros-merida-speeder-300-2019r-IDJks0H.html
"Велосипед гравійний, циклокрос Merida 500, Shimano 105, size XL",24 500 грн.,Б/в,2021-12-26,Івано-Франківськ,,"48.91819, 24.71343",Ярослав,Urban Bike Club,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-tsiklokros-merida-500-shimano-105-size-xl-IDNJOXV.html
"Гравійний велосипед DeMARCHE Gravel Stone (SORA, 2х9,28"") 2022",24 500 грн.,Нові,2022-07-01,Тернопіль,,"49.56069, 25.61132",Данил,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-demarche-gravel-stone-sora-2h9-28-2022-IDP1dpR.html
Гравійний велосипед Gravel Spirit Piligrim 8.1 28 !ВІЙСЬКОВИМ ЗНИЖКА!,24 700 грн.,Нові,2021-09-22,Київ,Голосіївський,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-gravel-spirit-piligrim-8-1-28-vyskovim-znizhka-IDMOyDG.html
Велосипед 29 Marin BOBCAT TRAIL 5 (2022). Цена снижена до 13.08 !,25 000 грн.,Б/в,2022-07-15,Київ,Дніпровський,"50.45964, 30.61717",Александр,,https://www.olx.ua/d/uk/obyavlenie/velosiped-29-marin-bobcat-trail-5-2022-tsena-snizhena-do-13-08-IDP8P6I.html
"Велосипед шоссейний, Гравійний, Циклокрос, Гравел, gravel",25 000 грн.,Б/в,2022-06-29,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/velosiped-shosseyniy-gravyniy-tsiklokros-gravel-gravel-IDP05XH.html
Stevens gravel гравийный велосипед,25 000 грн.,Б/в,2022-08-04,Київ,Деснянський,"50.5186, 30.62532",Антон,,https://www.olx.ua/d/uk/obyavlenie/stevens-gravel-graviynyy-velosiped-IDPj771.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/в,2022-04-09,Хмельницький,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/uk/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
"Гравел велосипед Crosser Nord  28""",9 400 грн.,Нові,2021-04-28,Одеса,Київський,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/uk/obyavlenie/gravel-velosiped-crosser-nord-28-IDLtCMo.html
Велосипед Pride Rocx 8.2 gravel touring fix shimano claris sora,18 000 грн.,Б/в,2022-08-08,Київ,Деснянський,"50.5186, 30.62532",Aleksandr,,https://www.olx.ua/d/uk/obyavlenie/velosiped-pride-rocx-8-2-gravel-touring-fix-shimano-claris-sora-IDPlbOQ.html
Гравійний велосепед Vektor Corsa Gravel,25 500 грн.,Б/в,2022-07-26,Рідківці,,"48.33659, 26.07155",Коля,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-veloseped-vektor-corsa-gravel-IDPeAfg.html
Велосипед двохпідвіс Specialized S-Works Epic Carbon 2008,25 500 грн.,Б/в,2021-08-28,Одеса,Приморський,"46.467, 30.745",Александр,,https://www.olx.ua/d/uk/obyavlenie/velosiped-dvohpdvs-specialized-s-works-epic-carbon-2008-IDMzkHV.html
28 CUBE Nuroad 2022 как НОВЫЙ Вилка CARBON Disc. GRAVEL Shimano CLARIS,25 555 грн.,Б/в,2022-07-18,Запоріжжя,Комунарський,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/uk/obyavlenie/28-cube-nuroad-2022-kak-novyy-vilka-carbon-disc-gravel-shimano-claris-IDPab54.html
Велосипед гравел Kross vento cx 2.0,26 000 грн.,Б/в,2022-07-08,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-kross-vento-cx-2-0-IDP4Hqa.html
Велосипед Гравел gravel Specialized Sequoia (58 cm),26 400 грн.,Б/в,2022-07-23,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-gravel-specialized-sequoia-58-cm-IDPd00o.html
Гревел турінг кастом cr mo rocx tour manitou 29 xt dt swiss ram,28 000 грн.,Б/в,2022-03-23,Івано-Франківськ,,"48.91819, 24.71343",Ярослав,"""ПРОМА""",https://www.olx.ua/d/uk/obyavlenie/grevel-turng-kastom-cr-mo-rocx-tour-manitou-29-xt-dt-swiss-ram-IDOjtkp.html
B'twin Triban RC520 весь в shimano 105 шосер гравел 700×28 як новий,28 000 грн.,Б/в,2022-07-07,Хмельницький,,"49.40611, 27.0045",Тарас,,https://www.olx.ua/d/uk/obyavlenie/btwin-triban-rc520-ves-v-shimano-105-shoser-gravel-70028-yak-noviy-IDP4oSW.html
Велосипед Specialized Sirrus Elite Carbon XL,28 000 грн.,Б/в,2022-07-29,Софіївська Борщагівка,,"50.41437, 30.36408",Владислав,,https://www.olx.ua/d/uk/obyavlenie/velosiped-specialized-sirrus-elite-carbon-xl-IDPgfr3.html
Велосипед Genesis gravel,28 200 грн.,Б/в,2022-07-25,Вінниця,Замостянський,"49.248, 28.519",VK,,https://www.olx.ua/d/uk/obyavlenie/velosiped-genesis-gravel-IDPdMMT.html
"2022 Pride Rocx 8.1 — новый гравийник (gravel), XL в чёрном",28 260 грн.,Нові,2021-02-10,Київ,Деснянський,"50.5186, 30.62532",FACEBIKE на Теодора Драйзера,Теодора Драйзера 1 Троещи...,https://www.olx.ua/d/uk/obyavlenie/2022-pride-rocx-8-1-novyy-graviynik-gravel-xl-v-chernom-IDKEAgY.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),42 000 грн.,Б/в,2022-05-01,Гатне,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/uk/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
Велосипед Pride Rocx 8.2 gravel touring fix shimano claris sora,18 000 грн.,Б/в,2022-08-08,Київ,Деснянський,"50.5186, 30.62532",Aleksandr,,https://www.olx.ua/d/uk/obyavlenie/velosiped-pride-rocx-8-2-gravel-touring-fix-shimano-claris-sora-IDPlbOQ.html
Продам велосипед  Cube,45 000 грн.,Б/в,2022-07-22,Ралівка,,"49.50864, 23.25083",Назар,,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-cube-IDPcmxa.html
Циклокросс/гравел Focus Ax Mares. Можно как шоссейник,29 539 грн.,Б/в,2022-06-20,Харків,Індустріальний,"49.933, 36.401",Артём,,https://www.olx.ua/d/uk/obyavlenie/tsiklokross-gravel-focus-ax-mares-mozhno-kak-shosseynik-IDOWvpC.html
Велосипед гравел Cube nuroad,29 700 грн.,Б/в,2022-07-11,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-cube-nuroad-IDP6DDk.html
"Велосипед міський, gravel Rose Multi sport 28'",29 900 грн.,Б/в,2022-06-22,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/velosiped-mskiy-gravel-rose-multi-sport-28-IDOVro6.html
"гравел Specialized Diverge E5 Sport, L size, gravel Disk",29 950 грн.,Невідомо,2022-07-15,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/gravel-specialized-diverge-e5-sport-l-size-gravel-disk-IDP8K4n.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 990 грн.,Б/в,2021-12-30,Ірпінь,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/uk/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
"Gravel, Гравел, Циклокрос Norco Search 105 50",30 000 грн.,Б/в,2022-07-12,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/gravel-gravel-tsiklokros-norco-search-105-50-IDP73Zx.html
scott speedster gravel 40 2021,30 000 грн.,Б/в,2022-01-07,Вінниця,Ленінський,"49.227, 28.423",Андрей,,https://www.olx.ua/d/uk/obyavlenie/scott-speedster-gravel-40-2021-IDNOAfS.html
"Велосипед гревел Specialized Diverge E5 Sport 28""",30 200 грн.,Б/в,2022-07-20,Хмельницький,,"49.40611, 27.0045",Вадим,ВелоСКЛАД,https://www.olx.ua/d/uk/obyavlenie/velosiped-grevel-specialized-diverge-e5-sport-28-IDPb9Ad.html
"Гревел, гравійник, BULLS, гравел",30 278 грн.,Б/в,2021-11-05,Чернівці,,"48.3, 25.93",Bike Center CV,Bike Center CV,https://www.olx.ua/d/uk/obyavlenie/grevel-gravynik-bulls-gravel-IDNeh02.html
Гравел Cotic escapede (48см),30 350 грн.,Б/в,2022-06-27,Ужгород,,"48.61981, 22.29811",Oleh,,https://www.olx.ua/d/uk/obyavlenie/gravel-cotic-escapede-48sm-IDOZz5i.html
Велосипед гравел Felt breed 20,39 200 грн.,Б/в,2022-07-07,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-felt-breed-20-IDP4H4X.html
Туринг/Гравел/Хромоль/Cr-Mo,10 000 грн.,Б/в,2022-08-03,Харків,Слобідський,"49.93914, 36.28963",Максим,,https://www.olx.ua/d/uk/obyavlenie/turing-gravel-hromol-cr-mo-IDPiNcD.html
"Fuji Jari carbon 1.1 гравийник, гравел, циклокросс за 1860$",74 390 грн.,Б/в,2022-02-17,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/fuji-jari-carbon-1-1-graviynik-gravel-tsiklokross-za-1860-IDOcqqh.html
"Gravel/Циклокросс Cube SL Road 28""
Shimano 105 R7000 2*11 sp",32 000 грн.,Б/в,2022-07-30,Дніпро,Індустріальний,"48.51431, 35.07339",Иван,VeloStok,https://www.olx.ua/d/uk/obyavlenie/gravel-tsiklokross-cube-sl-road-28-shimano-105-r7000-211-sp-IDPgw75.html
"Баварец Cube Nuroad ALS, Gravel Гревел XL Deutschland на осях",32 000 грн.,Б/в,2022-07-17,Одеса,Київський,"46.38471, 30.70913",Владимир,,https://www.olx.ua/d/uk/obyavlenie/bavarets-cube-nuroad-als-gravel-grevel-xl-deutschland-na-osyah-IDP9Gud.html
Велосипед гравел Genesis cda 30 Shimano GRX Gravel cube cannondale,32 900 грн.,Б/в,2022-07-23,Чернівці,,"48.3, 25.93",Тарас,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-genesis-cda-30-shimano-grx-gravel-cube-cannondale-IDPcStI.html
"Велосипед 28"" Merida SILEX 200 (181 - 192 см) Gravel",32 999 грн.,Б/в,2022-06-20,Запоріжжя,Олександрiвський,"47.822, 35.166",Константин,,https://www.olx.ua/d/uk/obyavlenie/velosiped-28-merida-silex-200-181-192-sm-gravel-IDOWNx2.html
Pride rocx tour 2020 (туринг-гравел),33 000 грн.,Б/в,2022-07-16,Корсунці,,"46.58921, 30.76757",Александр,,https://www.olx.ua/d/uk/obyavlenie/pride-rocx-tour-2020-turing-gravel-IDP9epx.html
"Шосер, шоссейний, Гравел, Циклокрос Cute Attain race 60",33 300 грн.,Б/в,2022-07-18,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/shoser-shosseyniy-gravel-tsiklokros-cute-attain-race-60-IDPa0Lj.html
супер крутий вел Stevens 8ХРrеmіum гібрид гравел гревел туринг крос,33 499 грн.,Б/в,2022-07-31,Львів,Франківський,"49.839, 23.995",В.С.,,https://www.olx.ua/d/uk/obyavlenie/super-krutiy-vel-stevens-8hrremum-gbrid-gravel-grevel-turing-kros-IDPgXGE.html
"Велосипед гревел Cube Nuroad Pro FE 28""",33 600 грн.,Б/в,2022-06-18,Хмельницький,,"49.40611, 27.0045",Вадим,ВелоСКЛАД,https://www.olx.ua/d/uk/obyavlenie/velosiped-grevel-cube-nuroad-pro-fe-28-IDOUHiq.html
Велосипед Gravel Cube Nuroad Pro 50 гравийный shimano 105 гидравлика,33 700 грн.,Б/в,2022-06-28,Запоріжжя,Хортицький,"47.815, 35.052",Александр,веломагазин ВеЛас,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-cube-nuroad-pro-50-graviynyy-shimano-105-gidravlika-IDOZRKu.html
28 CUBE CROSS RACE как НОВЫЙ Gravel. Shimano Tiagra. Carbon  на ОСЯХ,33 999 грн.,Б/в,2022-07-03,Запоріжжя,Комунарський,"47.777, 35.186",Artem,"ИНТЕРНЕТ ПРОДАЖА, РАЗБОРК...",https://www.olx.ua/d/uk/obyavlenie/28-cube-cross-race-kak-novyy-gravel-shimano-tiagra-carbon-na-osyah-IDP2gC8.html
Haibike Race 1.0 Gravel велосипед алюмінієвий карбонова вилка 28,14 999 грн.,Б/в,2022-07-21,Стрий,,"49.25663, 23.83511",Олег,Bike-Magazine Lviv,https://www.olx.ua/d/uk/obyavlenie/haibike-race-1-0-gravel-velosiped-alyumnviy-karbonova-vilka-28-IDPbLY1.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/в,2022-04-09,Хмельницький,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/uk/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
Велосипед 29 Marin BOBCAT TRAIL 5 (2022). Цена снижена до 13.08 !,25 000 грн.,Б/в,2022-07-15,Київ,Дніпровський,"50.45964, 30.61717",Александр,,https://www.olx.ua/d/uk/obyavlenie/velosiped-29-marin-bobcat-trail-5-2022-tsena-snizhena-do-13-08-IDP8P6I.html
Велосипед Carbon Cyclocross Gravel SRAM Red  Apex CX,33 999 грн.,Б/в,2022-04-12,Тернопіль,,"49.56069, 25.61132",Alex,,https://www.olx.ua/d/uk/obyavlenie/velosiped-carbon-cyclocross-gravel-sram-red-apex-cx-IDOoXR2.html
Новий карбоновий велосипед гревел  Twitter Gravel.,34 000 грн.,Нові,2021-08-14,Київ,Подільський,"50.49575, 30.43854",Виталий,,https://www.olx.ua/d/uk/obyavlenie/noviy-karbonoviy-velosiped-grevel-twitter-gravel-IDMrRRs.html
"Велосипед Cube Nuroad Pro FE 2020 28”, рама 56см.",34 339 грн.,Б/в,2022-06-11,Київ,Святошинський,"50.45612, 30.34653",Вадим,Веломагазин Bikecenter - ...,https://www.olx.ua/d/uk/obyavlenie/velosiped-cube-nuroad-pro-fe-2020-28-rama-56sm-IDOQV7n.html
KONA Rove NRB гревел/gravel,35 000 грн.,Б/в,2022-08-06,Київ,Шевченківський,"50.47135, 30.4624",Андрій,,https://www.olx.ua/d/uk/obyavlenie/kona-rove-nrb-grevel-gravel-IDPkp5S.html
"Велосипед Supernova (gravel, cyclocross)",35 000 грн.,Б/в,2022-06-13,Івано-Франківськ,,"48.91819, 24.71343",Іван,,https://www.olx.ua/d/uk/obyavlenie/velosiped-supernova-gravel-cyclocross-IDORQdZ.html
"Гревел, гравійник, Cube Nuroad, гравел, розмір S",35 200 грн.,Б/в,2021-11-19,Чернівці,,"48.3, 25.93",Bike Center CV,Bike Center CV,https://www.olx.ua/d/uk/obyavlenie/grevel-gravynik-cube-nuroad-gravel-rozmr-s-IDNmQva.html
Велосипед гравийный Cube NUROAD Pro FE 28'' 2021 рама L.,35 816 грн.,Б/в,2022-06-21,Київ,Святошинський,"50.45612, 30.34653",Вадим,Веломагазин Bikecenter - ...,https://www.olx.ua/d/uk/obyavlenie/velosiped-graviynyy-cube-nuroad-pro-fe-28-2021-rama-l-IDOV0Q1.html
Велосипед Giant Revollt 1 gravel гравійний,36 000 грн.,Б/в,2022-07-23,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-giant-revollt-1-gravel-gravyniy-IDPcZyQ.html
"Bombtrack Beyond 1 Gravel/Туринг 2019 S 27.5"" Cro-mo Sram 2*10sp / TRP",36 000 грн.,Б/в,2021-04-30,Дніпро,Індустріальний,"48.51431, 35.07339",Иван,VeloStok,https://www.olx.ua/d/uk/obyavlenie/bombtrack-beyond-1-gravel-turing-2019-s-27-5-cro-mo-sram-210sp-trp-IDLuAaH.html
Гравійний велосипед Cube Nuroad Gravel,36 000 грн.,Б/в,2022-08-02,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-cube-nuroad-gravel-IDPiqy8.html
Гравел Crosser Nord 28,12 000 грн.,Нові,2022-06-13,Одеса,Київський,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/uk/obyavlenie/gravel-crosser-nord-28-IDOS0Pa.html
E-Bike Електовелосипед Giant (2021),65 000 грн.,Б/в,2022-07-28,Івано-Франківськ,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/uk/obyavlenie/e-bike-elektovelosiped-giant-2021-IDPfCPp.html
"Merida Silex 6000 рама L, карбоновый гравел Gravel bike",53 500 грн.,Б/в,2022-06-15,Петриківка,,"48.58335, 34.80665",Евгений,,https://www.olx.ua/d/uk/obyavlenie/merida-silex-6000-rama-l-karbonovyy-gravel-gravel-bike-IDOTf3B.html
Велосипед Гревел Cube Nuroad  2022,36 000 грн.,Б/в,2022-06-12,Чернівці,,"48.3, 25.93",Cергей,G2bikes,https://www.olx.ua/d/uk/obyavlenie/velosiped-grevel-cube-nuroad-2022-IDORol4.html
