Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
Scott spark 30 carbon,24 999 грн.,Б/у,2022-05-15,Сумы,,"50.9074, 34.80236",Lelik,,https://www.olx.ua/d/obyavlenie/scott-spark-30-carbon-IDOCrBO.html
Велосипед Serious gravel,25 000 грн.,Б/у,2022-03-20,Винница,Замостянский,"49.248, 28.519",VK,,https://www.olx.ua/d/obyavlenie/velosiped-serious-gravel-IDOiOhj.html
"Trek 2019 Checkpoint ALR 4, рама 54",25 000 грн.,Б/у,2022-05-31,Киев,Дарницкий,"50.40931, 30.69263",Руслан,,https://www.olx.ua/d/obyavlenie/trek-2019-checkpoint-alr-4-rama-54-IDOL0dh.html
"Pride Rocx 8.3 M (gravel, гревел, гравийник)",25 101 грн.,Б/у,2021-11-09,Одесса,Приморский,"46.467, 30.745",Паша,,https://www.olx.ua/d/obyavlenie/pride-rocx-8-3-m-gravel-grevel-graviynik-IDNglKt.html
Велосипед Marin Four Corners gravel гравийный cube trek scott speciali,25 101 грн.,Б/у,2021-08-19,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-marin-four-corners-gravel-graviynyy-cube-trek-scott-speciali-IDMuB7u.html
Туринг гравийный велосипед KTM Strada Glorious гравел из Германии,25 200 грн.,Б/у,2022-05-24,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-graviynyy-velosiped-ktm-strada-glorious-gravel-iz-germanii-IDOHkul.html
Велосипед Циклокрос Гравел Rose BackRoab карбон,67 000 грн.,Б/у,2022-05-23,Черновцы,,"48.3, 25.93",Василь,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokros-gravel-rose-backroab-karbon-IDOGTMm.html
"Велосипед Merida Silex 6000 (2021) metallic teal / Gravel, гревел",80 000 грн.,Новый,2022-05-19,Киев,Шевченковский,"50.47135, 30.4624",Богдан,ТОВ «Аш Бі Медікал»,https://www.olx.ua/d/obyavlenie/velosiped-merida-silex-6000-2021-metallic-teal-gravel-grevel-IDOEFte.html
29x3.0 Salsa Fargo Custom гравийный монстеркросс гравел гравийник,99 999 грн.,Б/у,2022-04-09,Хмельницкий,,"49.40611, 27.0045",Продавец,,https://www.olx.ua/d/obyavlenie/29x3-0-salsa-fargo-custom-graviynyy-monsterkross-gravel-graviynik-IDOnYZP.html
Циклокросс RA-CO INTEC F10 Disc 2021г.Гравел hr-mo туринг,25 877 грн.,Б/у,2021-09-10,Киев,Днепровский,"50.45964, 30.61717",Игорь,Shara Velo,https://www.olx.ua/d/obyavlenie/tsiklokross-ra-co-intec-f10-disc-2021g-gravel-hr-mo-turing-IDMH3kg.html
"Monstercross, гревел, gravel Genesis Vagabond 29 Chromoly (XL, 52 см)",25 900 грн.,Б/у,2022-04-30,Черновцы,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/obyavlenie/monstercross-grevel-gravel-genesis-vagabond-29-chromoly-xl-52-sm-IDOwLQK.html
Gravel/Endurance велосипед Merida Mission CX 400,25 987 грн.,Б/у,2021-09-02,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-velosiped-merida-mission-cx-400-IDMCi0K.html
"Гревел, гравійник, Cube Nuroad, гравел, розмір S",25 987 грн.,Б/у,2021-11-19,Черновцы,,"48.3, 25.93",Bike Center CV,Bike Center CV,https://www.olx.ua/d/obyavlenie/grevel-gravynik-cube-nuroad-gravel-rozmr-s-IDNmQva.html
Велосипед двухподвес Specialized S-Works Epic Carbon 2008,26 000 грн.,Б/у,2021-08-28,Одесса,Приморский,"46.467, 30.745",Александр,,https://www.olx.ua/d/obyavlenie/velosiped-dvuhpodves-specialized-s-works-epic-carbon-2008-IDMzkHV.html
Scott Specialized Cube Canon,26 000 грн.,Б/у,2022-05-30,Ивано-Франковск,,"48.91819, 24.71343",Юрій,,https://www.olx.ua/d/obyavlenie/scott-specialized-cube-canon-IDOKvhx.html
Велосипед  Speedster Scott Syncros шосейний,26 000 грн.,Б/у,2022-06-01,Львов,Галицкий,"49.83524, 24.03517",Олег,,https://www.olx.ua/d/obyavlenie/velosiped-speedster-scott-syncros-shoseyniy-IDOLT9E.html
Велосипед Гравел SERIOUS GRAFIX COMP Gravel White (2020),26 200 грн.,Б/у,2022-05-13,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/velosiped-gravel-serious-grafix-comp-gravel-white-2020-IDOBEM7.html
Gravel/туринговый велосипед Fuji TOURING Disc LT,26 900 грн.,Б/у,2022-06-02,Черновцы,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/obyavlenie/gravel-turingovyy-velosiped-fuji-touring-disc-lt-IDOMcZX.html
"Баварец Cube SL Cross Road Pro Disc, Gravel Гревел на SLX/Tiagra",27 750 грн.,Б/у,2022-04-18,Одесса,Киевский,"46.38471, 30.70913",Владимир,,https://www.olx.ua/d/obyavlenie/bavarets-cube-sl-cross-road-pro-disc-gravel-grevel-na-slx-tiagra-IDOrqas.html
Велосипед алюм гревел Crosser Gravel NORD 28 Trek GT гравел циклокросс,8 990 грн.,Новый,2021-06-02,Днепр,Центральный,"48.463, 35.02387",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyum-grevel-crosser-gravel-nord-28-trek-gt-gravel-tsiklokross-IDLNTAv.html
"Велосипед циклокросс гравийник, gravel, cx, merida",16 000 грн.,Б/у,2022-02-03,Луганск,Жовтневый,"48.574, 39.308",Кирилл,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-graviynik-gravel-cx-merida-IDO4aj6.html
Гравел DeMaRCHE Stone,17 500 грн.,Новый,2022-05-28,Одесса,Малиновский,"46.46309, 30.67813",Юрий,,https://www.olx.ua/d/obyavlenie/gravel-demarche-stone-IDOJxp9.html
"Gravel/Циклокросс White GX Pro 20
2020 Shimano GRX RX400 2*10 sp",27 804 грн.,Б/у,2022-02-20,Днепр,Индустриальный,"48.51431, 35.07339",Иван,VeloStok,https://www.olx.ua/d/obyavlenie/gravel-tsiklokross-white-gx-pro-202020-shimano-grx-rx400-210-sp-IDOe7pK.html
"gravel, гравійник Guerciotti Gieten",28 000 грн.,Невідомо,2020-11-29,Черновцы,,"48.3, 25.93",Степан,,https://www.olx.ua/d/obyavlenie/gravel-gravynik-guerciotti-gieten-IDJYOwy.html
Турінг Trek 2020 520 Disc. Cube Scott Giant Specialized Canyon Gravel,28 054 грн.,Б/у,2021-03-25,Киев,Днепровский,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/turng-trek-2020-520-disc-cube-scott-giant-specialized-canyon-gravel-IDL61UW.html
АКЦИЯ! Гравийник Stevens Gavere (2020) Shimano GRX циклокросс гравел,28 054 грн.,Б/у,2022-04-13,Одесса,Киевский,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/obyavlenie/aktsiya-graviynik-stevens-gavere-2020-shimano-grx-tsiklokross-gravel-IDOpzQX.html
велосипед Kona Sutra 2021 хромолевий туринг гравел розмір 52 (160-178),28 200 грн.,Б/у,2022-05-09,Киев,Печерский,"50.41847, 30.54521",Богдан,,https://www.olx.ua/d/obyavlenie/velosiped-kona-sutra-2021-hromoleviy-turing-gravel-rozmr-52-160-178-IDOzDgP.html
Гравел Merida Cyclocross 600 (2018) Sram Apex 11s Гидравлика !,28 350 грн.,Б/у,2021-11-07,Одесса,Киевский,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/obyavlenie/gravel-merida-cyclocross-600-2018-sram-apex-11s-gidravlika-IDNf6R7.html
Gravel/Endurance кроссовый велосипед Scott Speedster 20 Disc,28 940 грн.,Б/у,2019-01-20,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-krossovyy-velosiped-scott-speedster-20-disc-IDD1loP.html
Велосипед гревел монстеркросс туринг карбон gravel carbon Simplon 9кг,29 000 грн.,Б/у,2021-05-30,Львов,Франковский,"49.839, 23.995",Петро,,https://www.olx.ua/d/obyavlenie/velosiped-grevel-monsterkross-turing-karbon-gravel-carbon-simplon-9kg-IDLMbzO.html
Двухподвес Specialized Big Hit FSR 07',29 000 грн.,Б/у,2022-05-25,Кропивницкий,Фортечный,"48.5205, 32.22902",Юля Бойко,,https://www.olx.ua/d/obyavlenie/dvuhpodves-specialized-big-hit-fsr-07-IDOHL1f.html
Шоссейный Endurance велосипед Cube Attain Race Disc 2017,29 088 грн.,Б/у,2021-12-25,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/shosseynyy-endurance-velosiped-cube-attain-race-disc-2017-IDNJ0Ly.html
"Gravel Giant Toughtroad гревел, туринг",19 500 грн.,Б/у,2022-05-29,Сумы,,"50.9074, 34.80236",Роман,,https://www.olx.ua/d/obyavlenie/gravel-giant-toughtroad-grevel-turing-IDOJVEH.html
Туринг Bulls Daily гравел циклокрос из Германии (как новый),20 967 грн.,Б/у,2021-12-19,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-bulls-daily-gravel-tsiklokros-iz-germanii-kak-novyy-IDNFHWW.html
Велосипед Gravel Cube Nuroad Pro 56 на осях rondo cannondale merida,28 700 грн.,Б/у,2022-05-31,Запорожье,Хортицкий,"47.815, 35.052",Александр,веломагазин ВеЛас,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-pro-56-na-osyah-rondo-cannondale-merida-IDOL4YB.html
"Велосипед gravel гравел Kube Nuroad PRO 2021 (XS, 50 см)",29 200 грн.,Б/у,2022-04-28,Черновцы,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-gravel-kube-nuroad-pro-2021-xs-50-sm-IDOw2DO.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 236 грн.,Б/у,2021-12-30,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
"Bombtrack Beyond 1 Gravel/Туринг 2019 S 27.5"" Cro-mo Sram 2*10sp / TRP",29 383 грн.,Б/у,2021-04-30,Днепр,Индустриальный,"48.51431, 35.07339",Иван,VeloStok,https://www.olx.ua/d/obyavlenie/bombtrack-beyond-1-gravel-turing-2019-s-27-5-cro-mo-sram-210sp-trp-IDLuAaH.html
"Крафтовий туринг/гравел Cr-Mo велосипед, Size 60см, 2022",29 500 грн.,Б/у,2022-05-15,Ивано-Франковск,,"48.91819, 24.71343",Urban Bike Club,Urban Bike Club,https://www.olx.ua/d/obyavlenie/kraftoviy-turing-gravel-cr-mo-velosiped-size-60sm-2022-IDOCq3s.html
Велосипед Гравел CUBE NUROAD PRO FE (2021),29 999 грн.,Б/у,2022-05-29,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-pro-fe-2021-IDOJAS9.html
Гравел Cannondale caad 12 2017 /shimsno 105/гідравліка,30 000 грн.,Б/у,2021-12-02,Самбор,,"49.52071, 23.20655",Андрій,VELO prigon,https://www.olx.ua/d/obyavlenie/gravel-cannondale-caad-12-2017-shimsno-105-gdravlka-IDNw2MX.html
Гравел на базі рами Cyclone gsx,30 000 грн.,Б/у,2022-04-18,Львов,Сиховский,"49.792, 24.064",Віктор,,https://www.olx.ua/d/obyavlenie/gravel-na-baz-rami-cyclone-gsx-IDOraEi.html
Гравийный велосипед Gravel SERIOUS Grafit COMP!ВІЙСЬКОВИМ ЗНИЖКА!,30 900 грн.,Б/у,2022-01-15,Киев,Голосеевский,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-gravel-serious-grafit-comp-vyskovim-znizhka-IDNSR3h.html
Гравійний велосипед Cannondale Topstone новий gravel specialized cube,31 000 грн.,Б/у,2022-05-27,Киев,Печерский,"50.41847, 30.54521",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-cannondale-topstone-noviy-gravel-specialized-cube-IDOIyQu.html
Гравійник Trek Checkpoint ALR 5 (2020 р.),31 303 грн.,Б/у,2022-05-15,Черновцы,,"48.3, 25.93",Юра,,https://www.olx.ua/d/obyavlenie/gravynik-trek-checkpoint-alr-5-2020-r-IDOCpiR.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),33 961 грн.,Б/у,2022-05-01,Гатное,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
"Продам велосипед шоссейный (gravel, гравийный) Cube Nuroad Race",35 000 грн.,Б/у,2022-05-30,Кременчуг,,"49.10325, 33.43006",Владимир,,https://www.olx.ua/d/obyavlenie/prodam-velosiped-shosseynyy-gravel-graviynyy-cube-nuroad-race-IDOKici.html
"Циклокросс Canyon Inflite AL 9.0 p.XL (gravel,гравел,грейвл,гравийник)",37 652 грн.,Б/у,2022-03-20,Ивано-Франковск,,"48.91819, 24.71343",VeloPark,,https://www.olx.ua/d/obyavlenie/tsiklokross-canyon-inflite-al-9-0-p-xl-gravel-gravel-greyvl-graviynik-IDOiONj.html
Гравійний велосипед Gravel CUBE NUROAD WS 2021 (ЯК НОВИЙ),32 200 грн.,Б/у,2022-05-24,Черновцы,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-gravel-cube-nuroad-ws-2021-yak-noviy-IDOHmG0.html
Гревел CUBE NUROAD WS 2021. Scott Trek Giant Specialized Canyon BMC GT,32 300 грн.,Б/у,2022-04-25,Киев,Дарницкий,"50.40931, 30.69263",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/grevel-cube-nuroad-ws-2021-scott-trek-giant-specialized-canyon-bmc-gt-IDOtPhe.html
Велосипед Gravel Triban 520 циклокросс cube trek scott diverge,32 484 грн.,Б/у,2021-07-28,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-triban-520-tsiklokross-cube-trek-scott-diverge-IDMifhu.html
Велосипед gravel shimano grx,32 484 грн.,Б/у,2021-08-28,Винница,Ленинский,"49.227, 28.423",Олег,BikeOlsher,https://www.olx.ua/d/obyavlenie/velosiped-gravel-shimano-grx-IDMzL3m.html
Гравел Bulls Daily Grinder 2 (2021) Shimano GRX КАК НОВЫЙ!,32 484 грн.,Б/у,2021-11-07,Одесса,Киевский,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/obyavlenie/gravel-bulls-daily-grinder-2-2021-shimano-grx-kak-novyy-IDNf8ft.html
"Велосипед циклокрос, гравел, туринг Veloheld, made in Germany",32 484 грн.,Б/у,2021-11-21,Ивано-Франковск,,"48.91819, 24.71343",Володимир,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokros-gravel-turing-veloheld-made-in-germany-IDNnL0C.html
НОВЫЙ!ДОКУМЕНТЫ! Гравел Author Ronin 58 XL(2020) Shimano GRX,32 484 грн.,Новый,2021-11-06,Одесса,Киевский,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/obyavlenie/novyy-dokumenty-gravel-author-ronin-58-xl2020-shimano-grx-IDNeEXf.html
Велосипед гравел Stevens Supreme (2021) Shimano GRX Супер предложение!,32 484 грн.,Б/у,2021-11-07,Одесса,Киевский,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/obyavlenie/velosiped-gravel-stevens-supreme-2021-shimano-grx-super-predlozhenie-IDNf8Ib.html
Гравийний grevel гравел Хромоль ! GRX ! Brooks ! Marin Cube Giant Trek,32 500 грн.,Б/у,2021-07-10,Тернополь,,"49.56069, 25.61132",хххРОМАххх,,https://www.olx.ua/d/obyavlenie/graviyniy-grevel-gravel-hromol-grx-brooks-marin-cube-giant-trek-IDM9ayf.html
"Гравийный велосипед Trek CheckPoint AL 3 (2021) (#Merida, #Cannondale)",32 500 грн.,Б/у,2022-05-28,Киев,Соломенский,"50.41313, 30.44339",not guilty,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-trek-checkpoint-al-3-2021-merida-cannondale-IDOJmvF.html
Гравел Stevens Gavere GRX гравийный велосипед циклокросс из Германии,37 900 грн.,Б/у,2022-02-03,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/gravel-stevens-gavere-grx-graviynyy-velosiped-tsiklokross-iz-germanii-IDO436D.html
електро гравел ebike Orbea Gain 2020 Gravel GRX cube trek specialized,51 679 грн.,Б/у,2021-10-20,Ужгород,,"48.61981, 22.29811",юра,VELOMAN,https://www.olx.ua/d/obyavlenie/elektro-gravel-ebike-orbea-gain-2020-gravel-grx-cube-trek-specialized-IDN54F0.html
Corratec  Gravel (2020)  Trek cube Sram Rival 1 елекро гравел scott,57 000 грн.,Б/у,2022-04-18,Ивано-Франковск,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/obyavlenie/corratec-gravel-2020-trek-cube-sram-rival-1-elekro-gravel-scott-IDOroFL.html
Велосипед Gravel Cube Cross Race,33 000 грн.,Б/у,2021-09-19,Черновцы,,"48.3, 25.93",vs_bike_cv,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-cross-race-IDMM4or.html
scott speedster gravel 40 2021,33 000 грн.,Б/у,2022-01-07,Винница,Ленинский,"49.227, 28.423",Андрей,,https://www.olx.ua/d/obyavlenie/scott-speedster-gravel-40-2021-IDNOAfS.html
Gravel/Endurance велосипед C14 Cross Comp,33 075 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-velosiped-c14-cross-comp-IDLsuBM.html
Gravel туринг Genesis cro mo reynolds 725 XL Salsa Surly Pride Rondo,33 075 грн.,Б/у,2021-09-26,Киев,Днепровский,"50.45964, 30.61717",Александр,,https://www.olx.ua/d/obyavlenie/gravel-turing-genesis-cro-mo-reynolds-725-xl-salsa-surly-pride-rondo-IDMR8mz.html
Cross/Gravel велосипед Cube Cross Race Disc Pro,33 222 грн.,Б/у,2021-12-25,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/cross-gravel-velosiped-cube-cross-race-disc-pro-IDNIZMq.html
"Гравийный велосипед Polygon Bend R2 27.5"" Новый (Индонезия)",33 286 грн.,Новый,2020-11-23,Винница,Ленинский,"49.227, 28.423",Ярослав,,https://www.olx.ua/d/obyavlenie/graviynyy-velosiped-polygon-bend-r2-27-5-novyy-indoneziya-IDJUUe3.html
Циклокроссовый Gravel/Endurance велосипед Merida Cyclocross 600 2018,33 961 грн.,Б/у,2019-12-09,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/tsiklokrossovyy-gravel-endurance-velosiped-merida-cyclocross-600-2018-IDGnC8s.html
Гравел Serious Grafix 2021 Tiagra Trek Scott GT Cube Merida,33 961 грн.,Б/у,2021-10-04,Киев,Дарницкий,"50.40931, 30.69263",Веломан,ВЕЛОМАН,https://www.olx.ua/d/obyavlenie/gravel-serious-grafix-2021-tiagra-trek-scott-gt-cube-merida-IDMWxuO.html
Гравел Bergamont Grandurance 2021 cube trek merida rondo scott gt,33 961 грн.,Б/у,2021-11-04,Киев,Дарницкий,"50.40931, 30.69263",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/gravel-bergamont-grandurance-2021-cube-trek-merida-rondo-scott-gt-IDNdtf0.html
"Велосипед алюминий гревел  Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Новый,2021-05-31,Одесса,Киевский,"46.38471, 30.70913",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDLMQQw.html
Велосипед алюм гревел Crosser Gravel NORD 28 Trek GT гравел циклокросс,8 990 грн.,Новый,2021-06-02,Днепр,Центральный,"48.463, 35.02387",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyum-grevel-crosser-gravel-nord-28-trek-gt-gravel-tsiklokross-IDLNTAv.html
"Гравел велосипед Crosser Nord  28""",9 000 грн.,Новый,2021-04-28,Одесса,Киевский,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/obyavlenie/gravel-velosiped-crosser-nord-28-IDLtCMo.html
Cannondale CAAD X 2015 Циклокросс Гревел Gravel Велосипед 58 рост,33 961 грн.,Б/у,2022-05-26,Киев,Шевченковский,"50.47135, 30.4624",Алексей,,https://www.olx.ua/d/obyavlenie/cannondale-caad-x-2015-tsiklokross-grevel-gravel-velosiped-58-rost-IDOI9NS.html
Циклокроссовый Gravel/Endurance велосипед Merida Cyclocross 600 2018,33 961 грн.,Б/у,2019-12-09,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/tsiklokrossovyy-gravel-endurance-velosiped-merida-cyclocross-600-2018-IDGnC8s.html
Gravel/Endurance циклокроссовый велосипед Bianchi Allroad 105,33 961 грн.,Б/у,2021-12-25,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-endurance-tsiklokrossovyy-velosiped-bianchi-allroad-105-IDNIZu2.html
Гревл / Туринг Cube Nuroad Race FE  (2020),33 961 грн.,Б/у,2022-02-03,Черновцы,,"48.3, 25.93",Юра,,https://www.olx.ua/d/obyavlenie/grevl-turing-cube-nuroad-race-fe-2020-IDO43Rg.html
Гравел Cube Nuroad Race HPA (2020) Shimano GRX 11S Супер цена!,33 961 грн.,Б/у,2022-04-13,Одесса,Киевский,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/obyavlenie/gravel-cube-nuroad-race-hpa-2020-shimano-grx-11s-super-tsena-IDOpAmb.html
Велосипед Carbon Cyclocross Gravel SRAM Red  Apex CX,33 999 грн.,Б/у,2022-04-12,Тернополь,,"49.56069, 25.61132",Alex,,https://www.olx.ua/d/obyavlenie/velosiped-carbon-cyclocross-gravel-sram-red-apex-cx-IDOoXR2.html
Новий карбоновий велосипед гревел  Twitter Gravel.,34 000 грн.,Новый,2021-08-14,Киев,Подольский,"50.49575, 30.43854",Виталий,,https://www.olx.ua/d/obyavlenie/noviy-karbonoviy-velosiped-grevel-twitter-gravel-IDMrRRs.html
"Гравійний велосипед Cube Cross Race SL, Ultegra, size 56см",34 000 грн.,Б/у,2022-04-10,Ивано-Франковск,,"48.91819, 24.71343",Urban Bike Club,Urban Bike Club,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-cube-cross-race-sl-ultegra-size-56sm-IDOorbO.html
Jamis Dakar A1 Двухподвес Рама L 27.5 колеса,34 000 грн.,Б/у,2022-05-28,Ковель,,"51.20566, 24.71296",Сергій,,https://www.olx.ua/d/obyavlenie/jamis-dakar-a1-dvuhpodves-rama-l-27-5-kolesa-IDOJgB7.html
Gravel велосипед Bergamont Grandurance 7,34 699 грн.,Б/у,2021-04-26,Харьков,Шевченковский,"50.045, 36.221",Сергей,Best Bikes. Продажа велос...,https://www.olx.ua/d/obyavlenie/gravel-velosiped-bergamont-grandurance-7-IDLssmI.html
Гравел DeMaRCHE Stone,17 500 грн.,Новый,2022-05-28,Одесса,Малиновский,"46.46309, 30.67813",Юрий,,https://www.olx.ua/d/obyavlenie/gravel-demarche-stone-IDOJxp9.html
Туринг Bulls Daily гравел циклокрос из Германии (как новый),20 967 грн.,Б/у,2021-12-19,Ирпень,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/obyavlenie/turing-bulls-daily-gravel-tsiklokros-iz-germanii-kak-novyy-IDNFHWW.html
Велосипед Gravel Cube Nuroad Pro 56 на осях rondo cannondale merida,28 700 грн.,Б/у,2022-05-31,Запорожье,Хортицкий,"47.815, 35.052",Александр,веломагазин ВеЛас,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-pro-56-na-osyah-rondo-cannondale-merida-IDOL4YB.html
Велосипед гравел Cube Nuroad specialized cannondale merida canyon trek,34 800 грн.,Б/у,2022-03-17,Киев,Днепровский,"50.45964, 30.61717",ЄвроБайк,Euro.bike,https://www.olx.ua/d/obyavlenie/velosiped-gravel-cube-nuroad-specialized-cannondale-merida-canyon-trek-IDOidiJ.html
Велосипед шоссейный гравийный гревел спортивны gravel cube Nuroad 2021,34 899 грн.,Б/у,2021-07-07,Киев,Шевченковский,"50.47135, 30.4624",Руслан,Товары для активного обра...,https://www.olx.ua/d/obyavlenie/velosiped-shosseynyy-graviynyy-grevel-sportivny-gravel-cube-nuroad-2021-IDM7mui.html
Туринг Гревел Pride Rocx Tour LT не Cube Trek Scott Specialized Merida,34 999 грн.,Б/у,2022-04-21,Люботин,,"49.95111, 35.94075",Евгений,,https://www.olx.ua/d/obyavlenie/turing-grevel-pride-rocx-tour-lt-ne-cube-trek-scott-specialized-merida-IDOsBCa.html
Велосипед шоссе гревел gravel Wilier Tiestina Jareen 105 shimano M 54,35 000 грн.,Б/у,2022-02-21,Вишневое,,"50.38803, 30.37538",Роман,,https://www.olx.ua/d/obyavlenie/velosiped-shosse-grevel-gravel-wilier-tiestina-jareen-105-shimano-m-54-IDOeVGz.html
"Продам велосипед шоссейный (gravel, гравийный) Cube Nuroad Race",35 000 грн.,Б/у,2022-05-30,Кременчуг,,"49.10325, 33.43006",Владимир,,https://www.olx.ua/d/obyavlenie/prodam-velosiped-shosseynyy-gravel-graviynyy-cube-nuroad-race-IDOKici.html
"Trek Domane Al 5. ендуранс, гравел",35 142 грн.,Б/у,2022-01-18,Одесса,Киевский,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/obyavlenie/trek-domane-al-5-endurans-gravel-IDNUuIA.html
Cinelli Zudeco  Gravel 2020 Cube Trek Giant Specialized,35 437 грн.,Б/у,2021-12-25,Коломыя,,"48.53, 25.04",Kolya,,https://www.olx.ua/d/obyavlenie/cinelli-zudeco-gravel-2020-cube-trek-giant-specialized-IDNJ2Cg.html
"Велосипед gravel гравел Omnium CXC Sram Apex, Rival (53 cm.) Хромуль",35 600 грн.,Б/у,2022-05-07,Черновцы,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/obyavlenie/velosiped-gravel-gravel-omnium-cxc-sram-apex-rival-53-cm-hromul-IDOz2uP.html
Гравел Trek checkpoint alr4 2021,36 000 грн.,Б/у,2022-01-29,Киев,Святошинский,"50.45612, 30.34653",Sergey,,https://www.olx.ua/d/obyavlenie/gravel-trek-checkpoint-alr4-2021-IDO0YIM.html
"Гравійний велосипед Cube Nuroad Race 2020, GRX, 56 рама",36 000 грн.,Б/у,2022-03-15,Ивано-Франковск,,"48.91819, 24.71343",Urban Bike Club,Urban Bike Club,https://www.olx.ua/d/obyavlenie/gravyniy-velosiped-cube-nuroad-race-2020-grx-56-rama-IDOhUkU.html
Гравийний grevel гравел Хромоль ! GRX ! Brooks ! Marin Cube Giant Trek,32 500 грн.,Б/у,2021-07-10,Тернополь,,"49.56069, 25.61132",хххРОМАххх,,https://www.olx.ua/d/obyavlenie/graviyniy-grevel-gravel-hromol-grx-brooks-marin-cube-giant-trek-IDM9ayf.html
